"collection","year","target","query_url","attempts","curl_exit","http_status","classification","valid_capture_rows","response"
"CC-MAIN-2014-10","2014","sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2014-10-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","28","000","SERVICE_ERROR","0","curl: (28) Connection timed out after 12006 milliseconds"
"CC-MAIN-2014-10","2014","www.sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2014-10-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","28","000","SERVICE_ERROR","0","curl: (28) Connection timed out after 12000 milliseconds"
"CC-MAIN-2014-15","2014","sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2014-15-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","28","000","SERVICE_ERROR","0","curl: (28) Connection timed out after 12005 milliseconds"
"CC-MAIN-2014-15","2014","www.sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2014-15-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","28","000","SERVICE_ERROR","0","curl: (28) Connection timed out after 12007 milliseconds"
"CC-MAIN-2014-23","2014","sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2014-23-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","28","000","SERVICE_ERROR","0","curl: (28) Connection timed out after 12014 milliseconds"
"CC-MAIN-2014-23","2014","www.sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2014-23-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","28","000","SERVICE_ERROR","0","curl: (28) Connection timed out after 12012 milliseconds"
"CC-MAIN-2014-35","2014","sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2014-35-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","28","000","SERVICE_ERROR","0","curl: (28) Connection timed out after 12010 milliseconds"
"CC-MAIN-2014-35","2014","www.sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2014-35-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","28","000","SERVICE_ERROR","0","curl: (28) Connection timed out after 12013 milliseconds"
"CC-MAIN-2014-41","2014","sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2014-41-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","28","000","SERVICE_ERROR","0","curl: (28) Connection timed out after 12010 milliseconds"
"CC-MAIN-2014-41","2014","www.sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2014-41-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","28","000","SERVICE_ERROR","0","curl: (28) Connection timed out after 12004 milliseconds"
"CC-MAIN-2014-42","2014","sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2014-42-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","28","000","SERVICE_ERROR","0","curl: (28) Connection timed out after 12006 milliseconds"
"CC-MAIN-2014-42","2014","www.sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2014-42-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","28","000","SERVICE_ERROR","0","curl: (28) Connection timed out after 12001 milliseconds"
"CC-MAIN-2014-49","2014","sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2014-49-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","0","404","NO_CAPTURE_VALID","0","{""message"": ""No Captures found for: sigen.gov.ar/documentacion/plananualpdfs/""}"
"CC-MAIN-2014-49","2014","www.sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2014-49-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","0","404","NO_CAPTURE_VALID","0","{""message"": ""No Captures found for: www.sigen.gov.ar/documentacion/plananualpdfs/""}"
"CC-MAIN-2014-52","2014","sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2014-52-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","0","404","NO_CAPTURE_VALID","0","{""message"": ""No Captures found for: sigen.gov.ar/documentacion/plananualpdfs/""}"
"CC-MAIN-2014-52","2014","www.sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2014-52-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","0","404","NO_CAPTURE_VALID","0","{""message"": ""No Captures found for: www.sigen.gov.ar/documentacion/plananualpdfs/""}"
